bbox_area,solidity,equivalent_diameter,orientation,convex_area,area,extent,eccentricity,major_axis_length,feret_diameter_max,perimeter,minor_axis_length,label
2850729,0.9303289733107968,1546.33362659268,-1.5623175791755657,2018644,1878003,0.6587799120856455,0.9218532045549747,2531.940016296861,2708.0149556455553,6641.348914259388,981.2261315671112,IMG_20220110_150135.jpg
4860075,0.9531910311890666,2028.3502989542362,1.5417289840946509,3389970,3231289,0.6648640195881751,0.911170351722917,3196.0002558622728,3425.8431079078914,8535.391770309006,1316.8474782930575,IMG_20220110_150324.jpg
6563375,0.9677996318634885,2352.65676303292,-1.5196525479375282,4491812,4347174,0.6623382025253776,0.9120326429582388,3722.922879172668,4046.791568638049,9803.547324730835,1526.8362522409352,IMG_20220110_150406.jpg
4113401,0.9371558664133876,1862.4252797637134,1.5683926385917208,2906938,2724254,0.6622874842496513,0.9681145292630758,3779.72136981175,3959.977903978758,9128.08397899568,946.8504421591114,IMG_20220110_150506.jpg
3796888,0.9591504651908886,1825.033572064917,1.5300445526289663,2727375,2615963,0.6889755505034649,0.9086311144559012,2846.9254751190365,3024.139216372156,7418.7946571143375,1188.8751848000543,IMG_20220110_150552.jpg
1170324,0.9421813546699466,1048.896870780628,1.5294943428457244,917109,864083,0.7383280185657989,0.9776884568368893,2306.167461961602,2245.481908188084,5096.8266940211915,484.4339639513187,IMG_20220110_150640.jpg
643857,0.9678176516568738,749.1443474316684,1.5234451559727449,455436,440779,0.6845914543136131,0.9430980263334888,1309.058450966348,1367.4227583304294,3196.4835482706844,435.28134937748047,IMG_20220110_150712.jpg
927536,0.9504500186842145,933.3476116176389,1.5474230570019676,719859,684190,0.737642528160632,0.9765849702746215,2040.027575766425,2000.9360309615097,4535.897761833057,438.87529971648485,IMG_20220110_150758.jpg
3750310,0.9585385616578195,1855.5834311177393,-1.5012948367110743,2821248,2704275,0.7210803906877031,0.8926965132503788,2783.32236790114,2972.6234204823186,7430.860674292319,1254.327425092194,IMG_20220110_150842.jpg
3587128,0.9655959690194855,1801.9752494604638,-1.5655913319242165,2641144,2550278,0.7109526060960188,0.8932686837555454,2705.8727240186636,2873.228149660239,7126.299274472332,1216.3524190705207,IMG_20220110_150937.jpg
3795111,0.9559043882850778,1830.9022089484633,-1.5199173881253492,2754265,2632814,0.6937383386151288,0.922175141918265,2969.0272865447982,3095.100159930208,7573.137802864845,1148.338263059558,IMG_20220110_151017.jpg
3602860,0.9667460666811173,1772.0867007864954,1.5401179553219155,2551217,2466379,0.6845614317514419,0.9193269188972193,2846.3397159794085,3020.251810693936,7345.213921310594,1120.0193657331472,IMG_20220110_151057.jpg
610643,0.9733201604271785,725.8320371433755,-1.4755929467971092,425115,413773,0.6776021341438451,0.9342679590121905,1225.0254617506655,1295.946372347251,3065.880517890354,436.8094174902763,IMG_20220110_151135.jpg
10547344,0.9634700847775116,3053.785764603818,-1.5567234543495363,7602016,7324315,0.6944226906792839,0.8695461313805284,4372.142933968913,4673.152255169951,12044.968860436893,2159.1903259726064,IMG_20220110_151951.jpg
7223040,0.9561069654386924,2509.065194742382,-1.5110720706811331,5171390,4944402,0.6845319976076555,0.9221680324147733,4078.886510629918,4331.180093230943,10540.609157826708,1577.6704881448811,IMG_20220110_152308.jpg
7386379,0.9512509506653765,2470.983432012308,1.559301480538165,5041206,4795452,0.6492290742189102,0.9129714286805071,3922.9619871763493,4277.042202270162,10325.098623283053,1600.6606508619434,IMG_20220110_152533.jpg
