bbox_area,solidity,equivalent_diameter,orientation,convex_area,area,extent,eccentricity,major_axis_length,feret_diameter_max,perimeter,minor_axis_length,label
6563375,0.9677996318634885,2352.65676303292,-1.5196525479375278,4491812,4347174,0.6623382025253776,0.9120326429582387,3722.922879172668,4046.791568638049,9803.547324730835,1526.8362522409357,IMG_20220110_150406.jpg
3796888,0.9591504651908886,1825.033572064917,1.530044552628965,2727375,2615963,0.6889755505034649,0.9086311144559012,2846.9254751190365,3024.139216372156,7418.7946571143375,1188.8751848000545,IMG_20220110_150552.jpg
4850391,0.9463124557492879,1998.0953919535757,1.5198542523838714,3313506,3135612,0.6464658210028841,0.9185116192797995,3228.764594609761,3430.4525940464473,8385.977556746633,1276.6341073404174,IMG_20220110_153307.jpg
3714822,0.9654333666559233,1837.2040068177048,1.5603892861287871,2745885,2650969,0.71361938741614,0.9050154699564121,2833.632110585909,2991.1130035490132,7458.926691470301,1205.3666126683195,IMG_20220110_153207.jpg
3587128,0.9655959690194855,1801.9752494604638,-1.5655913319242174,2641144,2550278,0.7109526060960188,0.8932686837555457,2705.872724018662,2873.228149660239,7126.299274472332,1216.3524190705189,IMG_20220110_150937.jpg
3795111,0.9559043882850778,1830.9022089484633,-1.5199173881253503,2754265,2632814,0.6937383386151288,0.922175141918265,2969.0272865447987,3095.100159930208,7573.137802864845,1148.3382630595577,IMG_20220110_151017.jpg
643857,0.9678176516568738,749.1443474316684,1.5234451559727449,455436,440779,0.6845914543136131,0.9430980263334889,1309.0584509663477,1367.4227583304294,3196.4835482706844,435.2813493774802,IMG_20220110_150712.jpg
6579952,0.9282975868795744,2366.4785300698954,-1.5361691381260716,4738139,4398403,0.6684551802201597,0.9568575562538747,4471.084938943116,4649.365655656694,11091.897254218778,1299.1069254093838,IMG_20220110_154300.jpg
610643,0.9733201604271785,725.8320371433755,-1.475592946797109,425115,413773,0.6776021341438451,0.9342679590121905,1225.0254617506657,1295.946372347251,3065.880517890354,436.8094174902763,IMG_20220110_151135.jpg
2850729,0.9303289733107968,1546.33362659268,-1.5623175791755664,2018644,1878003,0.6587799120856455,0.9218532045549749,2531.9400162968623,2708.0149556455553,6641.348914259388,981.2261315671109,IMG_20220110_150135.jpg
